date,product_id,product_name,category,region,units_sold,unit_price,discount,marketing_spend,revenue
2025-06-26,G005,Cooking Oil 1L,Staples,West,83,137.86,0.0,0.0,11442.38
2025-08-05,G006,Bananas 1kg,Produce,East,188,40.23,0.0,0.0,7563.24
2025-06-20,G004,Rice 5kg,Staples,North,58,324.59,5.0,0.0,17884.91
2025-06-17,G001,Milk 1L,Dairy,North,274,57.0,0.0,0.0,15618.0
2025-02-22,G006,Bananas 1kg,Produce,West,136,40.79,0.0,0.0,5547.44
2025-02-23,G007,Instant Noodles,Packaged Foods,East,363,18.31,0.0,0.0,6646.53
2025-02-28,G003,Eggs (12),Dairy,South,61,86.98,0.0,0.0,5305.78
2025-12-03,G004,Rice 5kg,Staples,East,63,312.27,10.0,0.0,17705.71
2025-06-21,G002,Bread Loaf,Bakery,North,294,46.08,5.0,0.0,12870.14
2025-12-30,G007,Instant Noodles,Packaged Foods,West,315,18.43,10.0,171.3,5224.9
2025-10-28,G005,Cooking Oil 1L,Staples,East,47,140.33,0.0,0.0,6595.51
2025-11-24,G007,Instant Noodles,Packaged Foods,North,379,17.61,5.0,0.0,6340.48
2025-11-22,G005,Cooking Oil 1L,Staples,South,106,140.48,10.0,0.0,13401.79
2025-07-10,G002,Bread Loaf,Bakery,West,110,45.93,0.0,0.0,5052.3
2025-05-25,G004,Rice 5kg,Staples,West,54,308.85,5.0,0.0,15844.01
2025-11-17,G007,Instant Noodles,Packaged Foods,West,378,17.87,0.0,0.0,6754.86
2025-05-12,G005,Cooking Oil 1L,Staples,South,83,140.54,0.0,0.0,11664.82
2025-06-12,G005,Cooking Oil 1L,Staples,South,98,143.36,0.0,0.0,14049.28
2025-09-11,G007,Instant Noodles,Packaged Foods,South,304,17.73,0.0,0.0,5389.92
2025-01-31,G004,Rice 5kg,Staples,West,39,311.34,0.0,0.0,12142.26
2025-07-17,G006,Bananas 1kg,Produce,North,228,40.1,10.0,0.0,8228.52
2025-12-08,G003,Eggs (12),Dairy,East,119,90.13,0.0,0.0,10725.47
2025-12-24,G007,Instant Noodles,Packaged Foods,West,388,17.68,0.0,0.0,6859.84
2025-11-26,G001,Milk 1L,Dairy,East,274,56.99,0.0,448.06,15615.26
2025-01-21,G004,Rice 5kg,Staples,South,47,330.92,0.0,0.0,15553.24
2025-10-16,G001,Milk 1L,Dairy,West,285,53.62,0.0,0.0,15281.7
2025-05-14,G002,Bread Loaf,Bakery,South,80,46.77,0.0,636.97,3741.6
2025-05-07,G007,Instant Noodles,Packaged Foods,North,288,17.87,5.0,0.0,4889.23
