date,product_id,product_name,category,region,units_sold,unit_price,discount,marketing_spend,revenue
2025-10-01,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-10-02,M001,Desk Lamp,Home Appliances,East,22,1200.0,0,0,26400.0
2025-10-03,M001,Desk Lamp,Home Appliances,East,17,1200.0,0,0,20400.0
2025-10-04,M001,Desk Lamp,Home Appliances,East,15,1200.0,0,0,18000.0
2025-10-05,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-10-06,M001,Desk Lamp,Home Appliances,East,6,1200.0,0,0,7200.0
2025-10-07,M001,Desk Lamp,Home Appliances,East,6,1200.0,0,0,7200.0
2025-10-08,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-10-09,M001,Desk Lamp,Home Appliances,East,22,1200.0,0,0,26400.0
2025-10-10,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-10-11,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-10-12,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-10-13,M001,Desk Lamp,Home Appliances,East,7,1200.0,0,0,8400.0
2025-10-14,M001,Desk Lamp,Home Appliances,East,9,1200.0,0,0,10800.0
2025-10-15,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-10-16,M001,Desk Lamp,Home Appliances,East,20,1200.0,0,0,24000.0
2025-10-17,M001,Desk Lamp,Home Appliances,East,17,1200.0,0,0,20400.0
2025-10-18,M001,Desk Lamp,Home Appliances,East,18,1200.0,0,0,21600.0
2025-10-19,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-10-20,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-10-21,M001,Desk Lamp,Home Appliances,East,12,1200.0,0,0,14400.0
2025-10-22,M001,Desk Lamp,Home Appliances,East,12,1200.0,0,0,14400.0
2025-10-23,M001,Desk Lamp,Home Appliances,East,18,1200.0,0,0,21600.0
2025-10-24,M001,Desk Lamp,Home Appliances,East,19,1200.0,0,0,22800.0
2025-10-25,M001,Desk Lamp,Home Appliances,East,19,1200.0,0,0,22800.0
2025-10-26,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-10-27,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-10-28,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-10-29,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-10-30,M001,Desk Lamp,Home Appliances,East,19,1200.0,0,0,22800.0
2025-10-31,M001,Desk Lamp,Home Appliances,East,18,1200.0,0,0,21600.0
2025-11-01,M001,Desk Lamp,Home Appliances,East,19,1200.0,0,0,22800.0
2025-11-02,M001,Desk Lamp,Home Appliances,East,10,1200.0,0,0,12000.0
2025-11-03,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-11-04,M001,Desk Lamp,Home Appliances,East,10,1200.0,0,0,12000.0
2025-11-05,M001,Desk Lamp,Home Appliances,East,15,1200.0,0,0,18000.0
2025-11-06,M001,Desk Lamp,Home Appliances,East,18,1200.0,0,0,21600.0
2025-11-07,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-11-08,M001,Desk Lamp,Home Appliances,East,14,1200.0,0,0,16800.0
2025-11-09,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-11-10,M001,Desk Lamp,Home Appliances,East,13,1200.0,0,0,15600.0
2025-11-11,M001,Desk Lamp,Home Appliances,East,9,1200.0,0,0,10800.0
2025-11-12,M001,Desk Lamp,Home Appliances,East,15,1200.0,0,0,18000.0
2025-11-13,M001,Desk Lamp,Home Appliances,East,20,1200.0,0,0,24000.0
2025-11-14,M001,Desk Lamp,Home Appliances,East,19,1200.0,0,0,22800.0
2025-11-15,M001,Desk Lamp,Home Appliances,East,12,1200.0,0,0,14400.0
2025-11-16,M001,Desk Lamp,Home Appliances,East,10,1200.0,0,0,12000.0
2025-11-17,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-11-18,M001,Desk Lamp,Home Appliances,East,11,1200.0,0,0,13200.0
2025-11-19,M001,Desk Lamp,Home Appliances,East,12,1200.0,0,0,14400.0
