date,product_id,product_name,category,region,units_sold,unit_price,discount,marketing_spend,revenue
2024-06-24,P003,Office Chair,Furniture,West,3,7702.67,0.0,0.0,23108.01
2025-05-10,P001,Laptop Pro,Electronics,West,14,60391.69,0.0,2728.15,845483.66
2024-01-05,P008,Air Purifier,Home Appliances,East,3,10074.94,0.0,0.0,30224.82
2024-08-29,P010,Yoga Mat,Fitness,North,26,1224.44,0.0,5909.97,31835.44
2025-11-24,P004,Standing Desk,Furniture,East,4,14820.65,0.0,0.0,59282.6
2024-07-27,P010,Yoga Mat,Fitness,West,33,1183.18,0.0,0.0,39044.94
2024-03-14,P004,Standing Desk,Furniture,South,4,15231.38,10.0,3346.83,54832.97
2025-05-17,P005,Running Shoes,Apparel,North,22,3254.34,0.0,0.0,71595.48
2024-04-02,P009,Bluetooth Speaker,Electronics,West,15,2209.73,0.0,0.0,33145.95
2024-08-26,P009,Bluetooth Speaker,Electronics,East,13,2184.79,0.0,0.0,28402.27
2024-04-26,P004,Standing Desk,Furniture,East,3,14631.45,0.0,0.0,43894.35
2025-08-12,P006,Winter Jacket,Apparel,West,5,5313.89,0.0,0.0,26569.45
2025-03-06,P002,Wireless Mouse,Electronics,East,29,883.92,0.0,1984.02,25633.68
2025-06-23,P003,Office Chair,Furniture,South,4,7723.9,10.0,0.0,27806.04
2025-02-17,P001,Laptop Pro,Electronics,North,7,59243.4,10.0,3628.59,373233.42
2024-05-20,P002,Wireless Mouse,Electronics,West,22,892.25,5.0,0.0,18648.02
2024-10-03,P010,Yoga Mat,Fitness,South,11,1199.11,0.0,0.0,13190.21
2024-08-10,P001,Laptop Pro,Electronics,South,15,61471.02,0.0,0.0,922065.3
2024-02-12,P005,Running Shoes,Apparel,West,13,3113.94,5.0,0.0,38457.16
2024-08-14,P010,Yoga Mat,Fitness,East,19,1184.31,10.0,0.0,20251.7
2024-10-23,P007,Blender,Home Appliances,West,6,2812.86,0.0,2412.81,16877.16
2025-11-28,P003,Office Chair,Furniture,West,3,7515.52,0.0,0.0,22546.56
2024-10-31,P003,Office Chair,Furniture,South,3,7456.78,0.0,0.0,22370.34
2025-02-15,P008,Air Purifier,Home Appliances,North,8,9589.35,0.0,1602.99,76714.8
2024-11-01,P004,Standing Desk,Furniture,South,4,14737.79,0.0,977.35,58951.16
2024-03-05,P009,Bluetooth Speaker,Electronics,East,11,2167.14,0.0,0.0,23838.54
2025-06-09,P010,Yoga Mat,Fitness,South,15,1179.72,10.0,0.0,15926.22
2024-03-04,P006,Winter Jacket,Apparel,South,7,5547.66,0.0,4239.77,38833.62
2025-11-14,P010,Yoga Mat,Fitness,North,23,1179.87,0.0,0.0,27137.01
2025-03-07,P004,Standing Desk,Furniture,West,3,14756.16,0.0,0.0,44268.48
2025-03-18,P003,Office Chair,Furniture,East,6,7363.35,5.0,619.67,41971.1
2024-09-05,P009,Bluetooth Speaker,Electronics,West,15,2223.21,0.0,0.0,33348.15
2024-01-28,P002,Wireless Mouse,Electronics,South,28,903.76,0.0,0.0,25305.28
2024-12-24,P005,Running Shoes,Apparel,West,17,3286.86,0.0,2036.36,55876.62
2024-07-04,P003,Office Chair,Furniture,East,5,7516.5,0.0,0.0,37582.5
2025-12-18,P001,Laptop Pro,Electronics,North,11,60527.14,0.0,0.0,665798.54
2025-08-30,P003,Office Chair,Furniture,North,4,7588.64,0.0,0.0,30354.56
2024-05-20,P006,Winter Jacket,Apparel,South,8,5366.91,0.0,0.0,42935.28
2025-07-14,P008,Air Purifier,Home Appliances,West,5,9786.73,15.0,0.0,41593.6
2024-09-01,P010,Yoga Mat,Fitness,North,33,1233.81,10.0,1166.29,36644.16
2024-08-19,P007,Blender,Home Appliances,South,4,2780.07,0.0,0.0,11120.28
2025-07-28,P002,Wireless Mouse,Electronics,East,26,882.42,0.0,0.0,22942.92
2024-05-24,P010,Yoga Mat,Fitness,East,26,1204.54,0.0,5618.42,31318.04
2025-03-07,P008,Air Purifier,Home Appliances,North,9,10087.63,10.0,0.0,81709.8
2024-03-10,P003,Office Chair,Furniture,North,5,7479.31,0.0,0.0,37396.55
2025-03-13,P002,Wireless Mouse,Electronics,North,29,912.38,15.0,0.0,22490.17
2025-05-30,P008,Air Purifier,Home Appliances,South,5,9791.02,0.0,4150.06,48955.1
2024-07-11,P007,Blender,Home Appliances,West,10,2799.76,0.0,0.0,27997.6
2024-10-20,P009,Bluetooth Speaker,Electronics,East,8,2215.22,0.0,0.0,17721.76
2025-06-02,P004,Standing Desk,Furniture,East,4,14959.69,0.0,0.0,59838.76
2025-08-06,P010,Yoga Mat,Fitness,South,12,1177.01,0.0,0.0,14124.12
2025-09-20,P007,Blender,Home Appliances,East,13,2808.45,0.0,0.0,36509.85
2025-08-21,P004,Standing Desk,Furniture,East,3,15306.28,0.0,0.0,45918.84
2024-07-19,P007,Blender,Home Appliances,East,9,2796.5,0.0,2324.03,25168.5
2024-11-28,P008,Air Purifier,Home Appliances,East,4,10085.85,0.0,0.0,40343.4
2025-06-28,P006,Winter Jacket,Apparel,South,11,5422.45,10.0,0.0,53682.25
2024-11-29,P002,Wireless Mouse,Electronics,East,35,876.82,5.0,0.0,29154.26
2024-01-05,P002,Wireless Mouse,Electronics,South,22,923.9,0.0,0.0,20325.8
2024-04-13,P007,Blender,Home Appliances,North,9,2818.48,0.0,0.0,25366.32
2024-12-30,P010,Yoga Mat,Fitness,North,37,1178.32,5.0,4229.99,41417.95
2025-09-26,P002,Wireless Mouse,Electronics,North,28,911.74,0.0,5703.83,25528.72
2024-02-23,P001,Laptop Pro,Electronics,North,6,61068.54,0.0,5061.86,366411.24
2025-04-23,P008,Air Purifier,Home Appliances,East,6,9593.43,0.0,671.6,57560.58
2024-01-14,P004,Standing Desk,Furniture,North,4,15267.72,0.0,0.0,61070.88
2024-12-29,P003,Office Chair,Furniture,North,9,7300.41,0.0,1460.5,65703.69
2025-09-05,P008,Air Purifier,Home Appliances,West,4,9642.32,0.0,0.0,38569.28
2024-10-28,P001,Laptop Pro,Electronics,East,5,58311.32,0.0,0.0,291556.6
2024-10-06,P008,Air Purifier,Home Appliances,West,4,10053.75,10.0,4830.94,36193.5
2025-07-10,P008,Air Purifier,Home Appliances,North,12,9742.11,5.0,0.0,111060.05
2025-04-18,P005,Running Shoes,Apparel,East,22,3150.79,0.0,0.0,69317.38
2024-01-02,P009,Bluetooth Speaker,Electronics,North,13,2135.12,0.0,0.0,27756.56
2025-07-14,P007,Blender,Home Appliances,East,9,2757.35,0.0,0.0,24816.15
2024-04-02,P005,Running Shoes,Apparel,South,14,3118.25,0.0,1414.18,43655.5
2025-10-02,P002,Wireless Mouse,Electronics,West,17,922.54,0.0,0.0,15683.18
2024-08-14,P006,Winter Jacket,Apparel,East,5,5279.51,0.0,4564.98,26397.55
2025-05-02,P004,Standing Desk,Furniture,South,5,14686.55,0.0,3712.85,73432.75
2024-02-25,P002,Wireless Mouse,Electronics,South,26,897.54,0.0,0.0,23336.04
2024-06-12,P007,Blender,Home Appliances,North,7,2760.51,0.0,0.0,19323.57
2025-08-01,P008,Air Purifier,Home Appliances,West,5,9834.5,5.0,0.0,46713.88
2024-07-22,P002,Wireless Mouse,Electronics,East,19,888.61,0.0,0.0,16883.59
2024-01-30,P009,Bluetooth Speaker,Electronics,North,19,2242.84,10.0,2876.22,38352.56
2024-06-12,P005,Running Shoes,Apparel,North,17,3179.11,0.0,4544.7,54044.87
2025-01-17,P007,Blender,Home Appliances,North,4,2815.28,5.0,0.0,10698.06
2024-12-09,P004,Standing Desk,Furniture,West,4,15387.26,0.0,0.0,61549.04
2025-09-08,P007,Blender,Home Appliances,East,11,2808.42,10.0,802.94,27803.36
2025-10-22,P003,Office Chair,Furniture,South,4,7383.92,0.0,0.0,29535.68
2025-07-04,P006,Winter Jacket,Apparel,West,7,5468.89,0.0,0.0,38282.23
2025-10-20,P006,Winter Jacket,Apparel,North,5,5433.7,5.0,0.0,25810.07
2025-10-17,P007,Blender,Home Appliances,West,8,2869.59,0.0,2373.88,22956.72
2024-03-13,P009,Bluetooth Speaker,Electronics,East,10,2216.61,0.0,2807.25,22166.1
2025-09-06,P004,Standing Desk,Furniture,North,6,14695.75,0.0,0.0,88174.5
2025-08-08,P004,Standing Desk,Furniture,North,3,14759.2,0.0,0.0,44277.6
2024-02-23,P007,Blender,Home Appliances,East,12,2807.56,0.0,3761.97,33690.72
2025-05-24,P002,Wireless Mouse,Electronics,North,53,904.13,10.0,0.0,43127.0
2025-03-20,P004,Standing Desk,Furniture,East,3,14910.95,0.0,3688.63,44732.85
2025-01-14,P001,Laptop Pro,Electronics,East,7,61426.26,0.0,0.0,429983.82
2025-10-25,P003,Office Chair,Furniture,North,6,7458.49,0.0,0.0,44750.94
2025-11-04,P010,Yoga Mat,Fitness,West,36,1204.7,0.0,0.0,43369.2
2025-03-12,P009,Bluetooth Speaker,Electronics,North,22,2194.15,0.0,0.0,48271.3
2024-12-05,P005,Running Shoes,Apparel,East,18,3277.49,0.0,0.0,58994.82
2025-02-11,P006,Winter Jacket,Apparel,South,9,5464.32,0.0,0.0,49178.88
2025-04-21,P003,Office Chair,Furniture,West,3,7675.48,15.0,739.13,19572.47
2025-11-24,P007,Blender,Home Appliances,North,7,2755.53,0.0,4157.11,19288.71
2024-04-29,P006,Winter Jacket,Apparel,North,5,5404.38,0.0,0.0,27021.9
2024-06-14,P010,Yoga Mat,Fitness,East,18,1224.49,0.0,0.0,22040.82
2024-06-22,P004,Standing Desk,Furniture,West,5,15157.98,0.0,0.0,75789.9
2024-08-24,P007,Blender,Home Appliances,South,10,2775.01,10.0,0.0,24975.09
2024-11-28,P005,Running Shoes,Apparel,West,22,3198.25,0.0,0.0,70361.5
2025-04-11,P008,Air Purifier,Home Appliances,East,7,10047.0,0.0,0.0,70329.0
2024-07-27,P004,Standing Desk,Furniture,East,6,14704.95,0.0,0.0,88229.7
2024-05-07,P009,Bluetooth Speaker,Electronics,South,13,2219.71,0.0,5190.58,28856.23
2024-05-20,P001,Laptop Pro,Electronics,West,9,61610.18,0.0,2297.85,554491.62
2024-03-20,P005,Running Shoes,Apparel,East,17,3159.31,0.0,0.0,53708.27
2025-10-22,P009,Bluetooth Speaker,Electronics,East,9,2249.81,0.0,0.0,20248.29
2024-08-23,P001,Laptop Pro,Electronics,West,10,58817.75,0.0,0.0,588177.5
2024-12-12,P010,Yoga Mat,Fitness,West,28,1189.33,0.0,0.0,33301.24
2025-12-05,P006,Winter Jacket,Apparel,West,5,5456.74,5.0,0.0,25919.51
2024-12-06,P010,Yoga Mat,Fitness,South,20,1224.2,0.0,4799.12,24484.0
2024-08-18,P005,Running Shoes,Apparel,East,22,3157.74,0.0,967.1,69470.28
2024-12-13,P006,Winter Jacket,Apparel,North,5,5497.66,0.0,0.0,27488.3
