date,product_id,product_name,category,region,units_sold,unit_price,discount,marketing_spend,revenue
2024-06-01,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-06-02,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-06-03,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-06-04,S001,Bluetooth Speaker,Electronics,South,27,850.0,0,0,22950.0
2024-06-05,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-06-06,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-06-07,S001,Bluetooth Speaker,Electronics,South,26,850.0,0,0,22100.0
2024-06-09,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-06-10,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-06-11,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-06-12,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-06-13,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-06-15,S001,Bluetooth Speaker,Electronics,South,30,850.0,0,0,25500.0
2024-06-16,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-06-17,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-06-18,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-06-19,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-06-20,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-06-21,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-06-23,S001,Bluetooth Speaker,Electronics,South,26,850.0,0,0,22100.0
2024-06-24,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-06-26,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-06-27,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-06-28,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-06-29,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-06-30,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-07-01,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-07-02,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-07-03,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-07-04,S001,Bluetooth Speaker,Electronics,South,25,850.0,0,0,21250.0
2024-07-06,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-07-07,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-07-08,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-07-09,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-07-10,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-07-11,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-07-12,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-07-13,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-07-14,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-07-15,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-07-16,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-07-17,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-07-18,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-07-19,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-07-20,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-07-21,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-07-23,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-07-24,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-07-25,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-07-26,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-07-27,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-07-28,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-07-30,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-08-01,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-08-02,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-08-04,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-08-06,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-08-07,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-08-08,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-08-09,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-08-10,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-08-11,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-08-12,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-08-13,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-08-14,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-08-15,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-08-17,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-08-18,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-08-19,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-08-20,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-08-21,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-08-22,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-08-23,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-08-24,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-08-25,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-08-26,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-08-27,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-08-28,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-08-29,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-08-30,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-08-31,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-09-01,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-09-02,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-09-03,S001,Bluetooth Speaker,Electronics,South,9,850.0,0,0,7650.0
2024-09-05,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-09-06,S001,Bluetooth Speaker,Electronics,South,9,850.0,0,0,7650.0
2024-09-07,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-09-08,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-09-09,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-09-10,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-09-12,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-09-14,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-09-15,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-09-17,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-09-18,S001,Bluetooth Speaker,Electronics,South,10,850.0,0,0,8500.0
2024-09-19,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-09-20,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-09-21,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-09-22,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-09-23,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-09-24,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-09-25,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-09-26,S001,Bluetooth Speaker,Electronics,South,9,850.0,0,0,7650.0
2024-09-27,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-09-28,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-09-29,S001,Bluetooth Speaker,Electronics,South,10,850.0,0,0,8500.0
2024-09-30,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-01,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-10-03,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-10-04,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-05,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-10-06,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-10-07,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-10-08,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-10-09,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-10-10,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-11,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-12,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-10-13,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-14,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-10-15,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-10-16,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-10-17,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-10-18,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-10-19,S001,Bluetooth Speaker,Electronics,South,10,850.0,0,0,8500.0
2024-10-20,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-10-21,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-10-22,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-10-23,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-10-24,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-10-25,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-10-27,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-10-28,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-10-29,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-30,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-10-31,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2024-11-01,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-11-03,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-11-04,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-11-07,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-11-08,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-11-09,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-11-10,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-11-11,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-11-12,S001,Bluetooth Speaker,Electronics,South,11,850.0,0,0,9350.0
2024-11-13,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-11-14,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-11-15,S001,Bluetooth Speaker,Electronics,South,13,850.0,0,0,11050.0
2024-11-16,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-11-17,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-11-18,S001,Bluetooth Speaker,Electronics,South,10,850.0,0,0,8500.0
2024-11-19,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-11-20,S001,Bluetooth Speaker,Electronics,South,9,850.0,0,0,7650.0
2024-11-21,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-11-22,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-11-23,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-11-24,S001,Bluetooth Speaker,Electronics,South,10,850.0,0,0,8500.0
2024-11-25,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-11-26,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-11-28,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-11-29,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-11-30,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-12-01,S001,Bluetooth Speaker,Electronics,South,14,850.0,0,0,11900.0
2024-12-03,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-12-04,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-12-05,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-12-06,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-12-07,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-12-08,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-12-09,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2024-12-10,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-12-12,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-12-13,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-12-14,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-12-15,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-12-16,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-12-17,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2024-12-18,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2024-12-19,S001,Bluetooth Speaker,Electronics,South,15,850.0,0,0,12750.0
2024-12-20,S001,Bluetooth Speaker,Electronics,South,17,850.0,0,0,14450.0
2024-12-22,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-12-23,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-12-24,S001,Bluetooth Speaker,Electronics,South,12,850.0,0,0,10200.0
2024-12-25,S001,Bluetooth Speaker,Electronics,South,20,850.0,0,0,17000.0
2024-12-26,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-12-27,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2024-12-28,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2024-12-29,S001,Bluetooth Speaker,Electronics,South,21,850.0,0,0,17850.0
2024-12-30,S001,Bluetooth Speaker,Electronics,South,27,850.0,0,0,22950.0
2024-12-31,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2025-01-01,S001,Bluetooth Speaker,Electronics,South,24,850.0,0,0,20400.0
2025-01-02,S001,Bluetooth Speaker,Electronics,South,18,850.0,0,0,15300.0
2025-01-03,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2025-01-04,S001,Bluetooth Speaker,Electronics,South,26,850.0,0,0,22100.0
2025-01-05,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
2025-01-06,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2025-01-07,S001,Bluetooth Speaker,Electronics,South,22,850.0,0,0,18700.0
2025-01-08,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2025-01-09,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2025-01-10,S001,Bluetooth Speaker,Electronics,South,19,850.0,0,0,16150.0
2025-01-11,S001,Bluetooth Speaker,Electronics,South,16,850.0,0,0,13600.0
2025-01-12,S001,Bluetooth Speaker,Electronics,South,23,850.0,0,0,19550.0
